,Bids,Asks
0,120.5803585889454,122.5803585889454
1,120.8771062017161,122.8771062017161
2,120.61589134494854,122.61589134494854
3,120.5577787766472,122.5577787766472
4,120.46931620678238,122.46931620678238
5,120.2097230779191,122.2097230779191
6,119.7783178101256,121.7783178101256
7,120.3937639725466,122.3937639725466
8,120.28017190050242,122.28017190050242
9,120.4081134828762,122.4081134828762
10,120.19580097897726,122.19580097897726
11,120.16797178328162,122.16797178328162
12,120.28503964641769,122.28503964641769
13,120.4367627342463,122.4367627342463
14,120.52228315644278,122.52228315644278
15,120.7724102637632,122.7724102637632
16,121.16000365891524,123.16000365891524
17,121.41998011168602,123.41998011168602
18,121.2512797018397,123.2512797018397
19,121.68039081429896,123.68039081429896
20,121.12934805066648,123.12934805066648
21,121.74017239746009,123.74017239746009
22,120.88205766253286,122.88205766253286
23,120.65502152921914,122.65502152921914
24,120.91644025062898,122.91644025062898
25,121.36887544893234,123.36887544893234
26,121.02156269103766,123.02156269103766
27,121.27079424484404,123.27079424484404
28,121.16776825774524,123.16776825774524
29,120.67125512075306,122.67125512075306
30,121.77724527882005,123.77724527882005
31,121.11480576724772,123.11480576724772
32,120.98752106614256,122.98752106614256
33,120.39402088840728,122.39402088840728
34,121.31854270148212,123.31854270148212
35,120.49100766515278,122.49100766515278
36,122.01855981311624,124.01855981311624
37,121.765515826784,123.765515826784
38,121.93328942091073,123.93328942091073
39,121.69924965119168,123.69924965119168
40,122.23061597071047,124.23061597071047
41,122.42589893044445,124.42589893044445
42,121.71842277041549,123.71842277041549
43,122.76342981293064,124.76342981293064
44,121.55535539318052,123.55535539318052
45,122.7925420211915,124.7925420211915
46,122.83369956950102,124.83369956950102
47,122.25986518740186,124.25986518740186
48,122.05791975735788,124.05791975735788
49,122.11225640900894,124.11225640900894
50,122.47368398648894,124.47368398648894
51,121.60757878825612,123.60757878825612
52,122.37027521981064,124.37027521981064
53,122.2068221776605,124.2068221776605
54,121.96662944778288,123.96662944778288
55,121.93462338371828,123.93462338371828
56,121.86776596119768,123.86776596119768
57,121.9144563819404,123.9144563819404
58,121.79278514543962,123.79278514543962
59,121.88413445120368,123.88413445120368
60,122.07736916175342,124.07736916175342
61,122.07305044180892,124.07305044180892
62,121.83644004665445,123.83644004665445
63,121.20335434158372,123.20335434158372
64,122.22571357457248,124.22571357457248
65,121.51053323655252,123.51053323655252
66,122.19250513311566,124.19250513311566
67,121.39260061587524,123.39260061587524
68,122.4922082557518,124.4922082557518
69,122.374572303385,124.374572303385
70,121.81924310687748,123.81924310687748
71,122.14069472159362,124.14069472159362
72,121.93753086286146,123.93753086286146
73,121.75911008179304,123.75911008179304
74,122.0291774555991,124.0291774555991
75,123.2010092832247,125.2010092832247
76,122.0571378898698,124.0571378898698
77,121.79427123746828,123.79427123746828
78,122.22711678881952,124.22711678881952
79,122.57381592575626,124.57381592575626
80,122.15041139444416,124.15041139444416
